time,pitch,p,i,d
6.060,-1.36,1.37,0.01,0.51
6.064,-1.37,1.38,0.02,0.54
6.068,-1.38,1.39,0.02,0.59
6.072,-1.40,1.41,0.03,0.71
6.076,-1.41,1.42,0.03,0.78
6.080,-1.43,1.44,0.04,0.74
6.084,-1.44,1.45,0.05,0.63
6.088,-1.44,1.45,0.05,0.41
6.092,-1.44,1.45,0.06,-0.04
6.096,-1.41,1.42,0.06,-0.75
6.100,-1.38,1.39,0.07,-1.25
6.104,-1.33,1.34,0.07,-2.05
6.108,-1.27,1.28,0.08,-2.92
6.112,-1.19,1.20,0.08,-3.51
6.116,-1.09,1.10,0.09,-4.50
6.120,-0.97,0.98,0.09,-5.48
6.124,-0.87,0.88,0.10,-5.32
6.128,-0.77,0.78,0.10,-5.04
6.132,-0.66,0.67,0.10,-5.33
6.136,-0.57,0.58,0.10,-4.84
6.140,-0.49,0.50,0.11,-4.18
6.144,-0.41,0.42,0.11,-3.97
6.148,-0.33,0.34,0.11,-4.03
6.152,-0.23,0.24,0.11,-4.59
6.156,-0.12,0.13,0.11,-5.18
6.160,-0.02,0.03,0.11,-5.12
6.164,0.06,-0.05,0.11,-5.14
6.168,0.20,-0.19,0.11,-6.12
6.172,0.35,-0.34,0.11,-7.24
6.176,0.48,-0.47,0.11,-6.97
6.180,0.60,-0.59,0.10,-6.16
6.184,0.73,-0.72,0.10,-6.27
6.188,0.84,-0.83,0.10,-5.89
6.192,0.94,-0.93,0.09,-5.05
6.196,1.01,-1.00,0.09,-4.28
6.200,1.08,-1.07,0.09,-3.71
6.204,1.16,-1.15,0.08,-3.78
6.208,1.23,-1.22,0.08,-3.70
6.212,1.29,-1.28,0.07,-3.24
6.216,1.34,-1.33,0.06,-2.61
6.220,1.39,-1.38,0.06,-2.51
6.224,1.45,-1.44,0.05,-2.70
6.228,1.49,-1.48,0.05,-2.45
6.232,1.52,-1.51,0.04,-1.77
6.236,1.55,-1.54,0.04,-1.53
6.240,1.57,-1.56,0.03,-1.35
6.244,1.58,-1.57,0.02,-0.76
6.248,1.58,-1.57,0.02,-0.20
6.252,1.57,-1.56,0.01,0.28
6.256,1.55,-1.54,0.00,0.82
6.260,1.53,-1.52,0.00,1.09
6.264,1.49,-1.48,0.00,1.49
6.268,1.44,-1.43,0.00,2.21
6.272,1.38,-1.37,0.00,2.76
6.276,1.31,-1.30,-0.01,3.14
6.280,1.25,-1.24,-0.01,3.20
6.284,1.17,-1.16,-0.01,3.61
6.288,1.08,-1.07,-0.02,4.20
6.292,0.99,-0.98,-0.02,4.41
6.296,0.89,-0.88,-0.03,4.73
6.300,0.79,-0.78,-0.03,5.20
6.304,0.67,-0.66,-0.03,5.55
6.308,0.55,-0.54,-0.03,5.98
6.312,0.42,-0.41,-0.04,6.16
6.316,0.30,-0.29,-0.04,6.12
6.320,0.18,-0.17,-0.04,6.22
6.324,0.05,-0.04,-0.04,6.34
6.328,-0.06,0.07,-0.04,6.44
6.332,-0.19,0.20,-0.04,6.44
6.336,-0.32,0.33,-0.04,6.48
6.340,-0.45,0.46,-0.03,6.59
6.344,-0.58,0.59,-0.03,6.50
6.348,-0.71,0.72,-0.03,6.36
6.352,-0.83,0.84,-0.03,6.28
6.356,-0.95,0.96,-0.02,6.06
6.360,-1.07,1.08,-0.02,5.63
6.364,-1.18,1.19,-0.01,5.62
6.368,-1.28,1.29,-0.01,5.54
6.372,-1.38,1.39,0.00,5.18
6.376,-1.48,1.49,0.00,4.90
6.380,-1.57,1.58,0.00,4.70
6.384,-1.65,1.66,0.00,4.29
6.388,-1.73,1.74,0.00,3.86
6.392,-1.79,1.80,0.01,3.60
6.396,-1.85,1.86,0.02,3.16
6.400,-1.90,1.91,0.03,2.78
6.404,-1.95,1.96,0.03,2.43
6.408,-1.98,1.99,0.04,1.97
6.412,-2.01,2.02,0.05,1.59
6.416,-2.03,2.04,0.06,1.20
6.420,-2.05,2.06,0.07,0.81
6.424,-2.05,2.06,0.08,0.57
6.428,-2.06,2.07,0.08,0.29
6.432,-2.06,2.07,0.09,0.06
6.436,-2.04,2.05,0.10,-0.34
6.440,-2.02,2.03,0.11,-0.81
6.444,-2.00,2.01,0.12,-1.10
6.448,-1.97,1.98,0.12,-1.32
6.452,-1.94,1.95,0.13,-1.55
6.456,-1.90,1.91,0.14,-1.74
6.460,-1.86,1.87,0.15,-1.96
6.464,-1.80,1.81,0.15,-2.38
6.468,-1.75,1.76,0.16,-2.71
6.472,-1.69,1.70,0.17,-2.89
6.476,-1.63,1.64,0.17,-3.07
6.480,-1.56,1.57,0.18,-3.14
6.484,-1.50,1.51,0.19,-3.14
6.488,-1.43,1.44,0.19,-3.25
6.492,-1.36,1.37,0.20,-3.45
6.496,-1.29,1.30,0.20,-3.44
6.500,-1.22,1.23,0.21,-3.51
6.504,-1.15,1.16,0.21,-3.63
6.508,-1.08,1.09,0.22,-3.58
6.512,-1.00,1.01,0.22,-3.64
6.516,-0.92,0.93,0.23,-3.80
6.520,-0.85,0.86,0.23,-3.72
6.524,-0.78,0.79,0.23,-3.65
6.528,-0.71,0.72,0.23,-3.64
6.532,-0.63,0.64,0.24,-3.60
6.536,-0.57,0.58,0.24,-3.36
6.540,-0.51,0.52,0.24,-3.17
6.544,-0.44,0.45,0.24,-3.32
6.548,-0.38,0.39,0.25,-3.04
6.552,-0.33,0.34,0.25,-2.78
6.556,-0.27,0.28,0.25,-2.72
6.560,-0.23,0.24,0.25,-2.42
6.564,-0.19,0.20,0.25,-2.14
6.568,-0.15,0.16,0.25,-1.92
6.572,-0.12,0.13,0.25,-1.60
6.576,-0.09,0.10,0.25,-1.46
6.580,-0.08,0.09,0.25,-1.17
6.584,-0.06,0.07,0.25,-0.78
6.588,-0.06,0.07,0.25,-0.49
6.592,-0.06,0.07,0.25,-0.08
6.596,-0.06,0.07,0.25,0.16
6.600,-0.08,0.09,0.25,0.51
6.604,-0.09,0.10,0.25,0.66
6.608,-0.11,0.12,0.25,0.87
6.612,-0.14,0.15,0.25,1.16
6.616,-0.16,0.17,0.26,1.28
6.620,-0.20,0.21,0.26,1.53
6.624,-0.24,0.25,0.26,1.80
6.628,-0.27,0.28,0.26,1.93
6.632,-0.32,0.33,0.26,2.07
6.636,-0.36,0.37,0.26,2.15
6.640,-0.41,0.42,0.26,2.19
6.644,-0.46,0.47,0.26,2.44
6.648,-0.51,0.52,0.27,2.68
6.652,-0.57,0.58,0.27,2.89
6.656,-0.63,0.64,0.27,2.98
6.660,-0.70,0.71,0.27,3.03
6.664,-0.76,0.77,0.28,2.97
6.668,-0.81,0.82,0.28,2.97
6.672,-0.87,0.88,0.28,2.98
6.676,-0.93,0.94,0.29,2.85
6.680,-1.00,1.00,0.29,2.95
6.684,-1.05,1.06,0.30,3.10
6.688,-1.11,1.12,0.30,3.10
6.692,-1.17,1.18,0.31,3.02
6.696,-1.23,1.24,0.31,3.02
6.700,-1.29,1.30,0.32,2.88
6.704,-1.34,1.35,0.32,2.70
6.708,-1.39,1.40,0.33,2.61
6.712,-1.44,1.45,0.33,2.47
6.716,-1.49,1.50,0.34,2.32
6.720,-1.53,1.54,0.35,2.19
6.724,-1.57,1.58,0.35,2.00
6.728,-1.60,1.61,0.36,1.86
6.732,-1.63,1.64,0.36,1.68
6.736,-1.67,1.68,0.37,1.59
6.740,-1.70,1.71,0.38,1.55
6.744,-1.72,1.73,0.39,1.37
6.748,-1.74,1.75,0.39,1.20
6.752,-1.76,1.77,0.40,0.91
6.756,-1.77,1.78,0.41,0.59
6.760,-1.77,1.78,0.41,0.31
6.764,-1.77,1.78,0.42,0.15
6.768,-1.77,1.78,0.43,0.00
6.772,-1.77,1.78,0.44,-0.19
6.776,-1.76,1.77,0.44,-0.36
6.780,-1.74,1.75,0.45,-0.54
6.784,-1.73,1.74,0.46,-0.71
6.788,-1.71,1.72,0.46,-0.92
6.792,-1.68,1.69,0.47,-1.09
6.796,-1.66,1.67,0.48,-1.20
6.800,-1.63,1.64,0.48,-1.37
6.804,-1.60,1.61,0.49,-1.56
6.808,-1.56,1.57,0.50,-1.64
6.812,-1.53,1.54,0.50,-1.67
6.816,-1.49,1.50,0.51,-1.75
6.820,-1.46,1.47,0.51,-1.74
6.824,-1.42,1.43,0.52,-1.78
6.828,-1.38,1.39,0.53,-2.00
6.832,-1.33,1.34,0.53,-2.18
6.836,-1.29,1.30,0.54,-2.23
6.840,-1.24,1.25,0.54,-2.30
6.844,-1.20,1.21,0.55,-2.29
6.848,-1.15,1.16,0.55,-2.21
6.852,-1.10,1.11,0.55,-2.26
6.856,-1.06,1.07,0.56,-2.29
6.860,-1.01,1.02,0.56,-2.38
6.864,-0.96,0.97,0.57,-2.32
6.868,-0.91,0.92,0.57,-2.45
6.872,-0.87,0.88,0.57,-2.39
6.876,-0.82,0.83,0.58,-2.14
6.880,-0.78,0.79,0.58,-2.13
6.884,-0.75,0.76,0.58,-1.97
6.888,-0.71,0.72,0.59,-1.84
6.892,-0.67,0.68,0.59,-1.90
6.896,-0.64,0.65,0.59,-1.73
6.900,-0.60,0.61,0.59,-1.60
6.904,-0.58,0.59,0.60,-1.53
6.908,-0.55,0.56,0.60,-1.33
6.912,-0.53,0.54,0.60,-1.21
6.916,-0.51,0.52,0.60,-1.08
6.920,-0.49,0.50,0.61,-1.03
6.924,-0.48,0.49,0.61,-0.77
6.928,-0.46,0.47,0.61,-0.61
6.932,-0.45,0.46,0.61,-0.53
6.936,-0.45,0.46,0.61,-0.28
6.940,-0.45,0.46,0.61,-0.10
6.944,-0.45,0.46,0.62,0.08
6.948,-0.46,0.47,0.62,0.27
6.952,-0.47,0.48,0.62,0.37
6.956,-0.48,0.49,0.62,0.58
6.960,-0.50,0.51,0.62,0.73
6.964,-0.52,0.53,0.63,0.83
6.968,-0.54,0.55,0.63,1.01
6.972,-0.56,0.57,0.63,1.14
6.976,-0.59,0.60,0.63,1.28
6.980,-0.62,0.63,0.64,1.32
6.984,-0.64,0.65,0.64,1.39
6.988,-0.68,0.69,0.64,1.52
6.992,-0.71,0.72,0.64,1.60
6.996,-0.75,0.76,0.65,1.74
7.000,-0.78,0.79,0.65,1.89
7.004,-0.82,0.83,0.65,1.87
7.008,-0.86,0.87,0.66,1.86
7.012,-0.89,0.90,0.66,1.83
7.016,-0.93,0.94,0.67,1.73
7.020,-0.96,0.97,0.67,1.69
7.024,-1.00,1.01,0.67,1.72
7.028,-1.03,1.04,0.68,1.72
7.032,-1.06,1.07,0.68,1.60
7.036,-1.09,1.10,0.69,1.51
7.040,-1.12,1.13,0.69,1.44
7.044,-1.15,1.16,0.70,1.40
7.048,-1.18,1.19,0.70,1.40
7.052,-1.20,1.21,0.70,1.34
7.056,-1.23,1.24,0.71,1.24
7.060,-1.25,1.26,0.71,1.14
7.064,-1.27,1.28,0.72,1.01
7.068,-1.28,1.29,0.73,0.87
7.072,-1.30,1.31,0.73,0.75
7.076,-1.31,1.32,0.74,0.61
7.080,-1.32,1.33,0.74,0.51
7.084,-1.33,1.34,0.75,0.45
7.088,-1.33,1.34,0.75,0.32
7.092,-1.34,1.35,0.76,0.24
7.096,-1.34,1.35,0.76,0.17
7.100,-1.34,1.35,0.77,0.07
7.104,-1.34,1.35,0.77,-0.04
7.108,-1.33,1.34,0.78,-0.24
7.112,-1.32,1.33,0.78,-0.38
7.116,-1.31,1.32,0.79,-0.50
7.120,-1.29,1.30,0.79,-0.62
7.124,-1.28,1.29,0.80,-0.78
7.128,-1.26,1.27,0.80,-0.91
7.132,-1.24,1.25,0.81,-0.96
7.136,-1.22,1.23,0.81,-0.94
7.140,-1.20,1.21,0.82,-0.92
7.144,-1.18,1.19,0.82,-0.87
7.148,-1.16,1.17,0.83,-0.88
7.152,-1.14,1.15,0.83,-0.96
7.156,-1.12,1.13,0.84,-1.15
7.160,-1.09,1.10,0.84,-1.35
7.164,-1.06,1.07,0.85,-1.41
7.168,-1.03,1.04,0.85,-1.39
7.172,-1.00,1.01,0.86,-1.42
7.176,-0.97,0.98,0.86,-1.57
7.180,-0.94,0.95,0.86,-1.61
7.184,-0.90,0.91,0.87,-1.64
7.188,-0.87,0.88,0.87,-1.65
7.192,-0.84,0.85,0.87,-1.67
7.196,-0.80,0.81,0.88,-1.69
7.200,-0.77,0.78,0.88,-1.65
7.204,-0.74,0.75,0.88,-1.63
7.208,-0.70,0.71,0.89,-1.64
7.212,-0.67,0.68,0.89,-1.61
7.216,-0.64,0.65,0.89,-1.56
7.220,-0.61,0.62,0.89,-1.47
7.224,-0.59,0.60,0.90,-1.34
7.228,-0.56,0.57,0.90,-1.33
7.232,-0.53,0.54,0.90,-1.33
7.236,-0.51,0.52,0.90,-1.31
7.240,-0.48,0.49,0.90,-1.20
7.244,-0.46,0.47,0.91,-1.13
7.248,-0.44,0.45,0.91,-1.05
7.252,-0.43,0.44,0.91,-0.86
7.256,-0.41,0.42,0.91,-0.69
7.260,-0.40,0.41,0.91,-0.58
7.264,-0.39,0.40,0.92,-0.45
7.268,-0.39,0.40,0.92,-0.32
7.272,-0.38,0.39,0.92,-0.27
7.276,-0.38,0.39,0.92,-0.18
7.280,-0.38,0.39,0.92,-0.06
7.284,-0.38,0.39,0.92,-0.06
7.288,-0.38,0.39,0.92,-0.09
7.292,-0.38,0.39,0.93,0.05
7.296,-0.38,0.39,0.93,0.20
7.300,-0.39,0.40,0.93,0.21
7.304,-0.40,0.41,0.93,0.33
7.308,-0.41,0.42,0.93,0.45
7.312,-0.42,0.43,0.93,0.53
7.316,-0.43,0.44,0.94,0.60
7.320,-0.44,0.45,0.94,0.55
7.324,-0.45,0.46,0.94,0.56
7.328,-0.47,0.48,0.94,0.70
7.332,-0.48,0.49,0.94,0.78
7.336,-0.50,0.51,0.95,0.78
7.340,-0.52,0.53,0.95,0.79
7.344,-0.53,0.54,0.95,0.76
7.348,-0.55,0.56,0.95,0.72
7.352,-0.56,0.57,0.96,0.62
7.356,-0.57,0.58,0.96,0.58
7.360,-0.58,0.59,0.96,0.70
7.364,-0.60,0.61,0.96,0.80
7.368,-0.62,0.63,0.96,0.84
7.372,-0.64,0.65,0.97,0.88
7.376,-0.65,0.66,0.97,0.84
7.380,-0.67,0.68,0.97,0.73
7.384,-0.68,0.69,0.98,0.71
7.388,-0.70,0.71,0.98,0.71
7.392,-0.71,0.72,0.98,0.62
7.396,-0.72,0.73,0.98,0.52
7.400,-0.73,0.74,0.99,0.53
7.404,-0.73,0.74,0.99,0.46
7.408,-0.74,0.75,0.99,0.40
7.412,-0.75,0.76,1.00,0.42
7.416,-0.76,0.77,1.00,0.43
7.420,-0.77,0.78,1.00,0.41
7.424,-0.78,0.79,1.01,0.37
7.428,-0.78,0.79,1.01,0.33
7.432,-0.79,0.80,1.01,0.32
7.436,-0.79,0.80,1.02,0.25
7.440,-0.80,0.81,1.02,0.18
7.444,-0.80,0.81,1.02,0.15
7.448,-0.80,0.81,1.03,0.07
7.452,-0.80,0.81,1.03,0.00
7.456,-0.80,0.81,1.03,-0.03
7.460,-0.79,0.80,1.03,-0.10
7.464,-0.79,0.80,1.04,-0.18
7.468,-0.78,0.79,1.04,-0.27
7.472,-0.78,0.79,1.04,-0.32
7.476,-0.77,0.78,1.05,-0.35
7.480,-0.76,0.77,1.05,-0.35
7.484,-0.76,0.77,1.05,-0.31
7.488,-0.75,0.76,1.06,-0.23
7.492,-0.75,0.76,1.06,-0.25
7.496,-0.74,0.75,1.06,-0.36
7.500,-0.72,0.73,1.07,-0.54
7.504,-0.71,0.72,1.07,-0.62
7.508,-0.70,0.71,1.07,-0.56
7.512,-0.69,0.70,1.07,-0.58
7.516,-0.68,0.69,1.08,-0.55
7.520,-0.67,0.68,1.08,-0.52
7.524,-0.65,0.66,1.08,-0.56
7.528,-0.64,0.65,1.09,-0.63
7.532,-0.62,0.63,1.09,-0.72
7.536,-0.61,0.62,1.09,-0.75
7.540,-0.59,0.60,1.09,-0.74
7.544,-0.58,0.59,1.10,-0.75
7.548,-0.57,0.58,1.10,-0.69
7.552,-0.55,0.56,1.10,-0.64
7.556,-0.54,0.55,1.10,-0.65
7.560,-0.53,0.54,1.10,-0.62
7.564,-0.51,0.52,1.11,-0.61
7.568,-0.50,0.51,1.11,-0.56
7.572,-0.49,0.50,1.11,-0.47
7.576,-0.48,0.49,1.11,-0.51
7.580,-0.47,0.48,1.11,-0.59
7.584,-0.46,0.47,1.12,-0.66
7.588,-0.44,0.45,1.12,-0.69
7.592,-0.43,0.44,1.12,-0.63
7.596,-0.42,0.43,1.12,-0.58
7.600,-0.41,0.42,1.12,-0.46
7.604,-0.40,0.41,1.12,-0.40
7.608,-0.39,0.40,1.13,-0.42
7.612,-0.38,0.39,1.13,-0.46
7.616,-0.37,0.38,1.13,-0.57
7.620,-0.36,0.37,1.13,-0.54
7.624,-0.35,0.36,1.13,-0.52
7.628,-0.34,0.35,1.13,-0.53
7.632,-0.33,0.34,1.14,-0.45
7.636,-0.32,0.33,1.14,-0.39
7.640,-0.32,0.33,1.14,-0.35
7.644,-0.31,0.32,1.14,-0.33
7.648,-0.30,0.31,1.14,-0.36
7.652,-0.29,0.30,1.14,-0.36
7.656,-0.29,0.30,1.14,-0.29
7.660,-0.28,0.29,1.14,-0.29
7.664,-0.28,0.29,1.15,-0.27
7.668,-0.27,0.28,1.15,-0.26
7.672,-0.27,0.28,1.15,-0.20
7.676,-0.27,0.28,1.15,-0.12
7.680,-0.27,0.28,1.15,-0.08
7.684,-0.27,0.28,1.15,-0.01
7.688,-0.26,0.27,1.15,0.00
7.692,-0.26,0.27,1.15,-0.05
7.696,-0.26,0.27,1.15,-0.04
7.700,-0.26,0.27,1.16,-0.06
7.704,-0.26,0.27,1.16,0.00
7.708,-0.27,0.28,1.16,0.16
7.712,-0.27,0.28,1.16,0.29
7.716,-0.28,0.29,1.16,0.38
7.720,-0.29,0.30,1.16,0.42
7.724,-0.30,0.31,1.16,0.43
7.728,-0.31,0.32,1.16,0.47
7.732,-0.32,0.33,1.17,0.47
7.736,-0.33,0.34,1.17,0.50
7.740,-0.34,0.35,1.17,0.58
7.744,-0.35,0.36,1.17,0.63
7.748,-0.37,0.38,1.17,0.67
7.752,-0.38,0.39,1.17,0.71
7.756,-0.40,0.41,1.17,0.73
7.760,-0.41,0.42,1.18,0.73
7.764,-0.43,0.44,1.18,0.76
7.768,-0.45,0.46,1.18,0.86
7.772,-0.46,0.47,1.18,0.83
7.776,-0.48,0.49,1.18,0.81
7.780,-0.50,0.51,1.19,0.87
7.784,-0.51,0.52,1.19,0.78
7.788,-0.53,0.54,1.19,0.71
7.792,-0.54,0.55,1.19,0.64
7.796,-0.55,0.56,1.19,0.56
7.800,-0.56,0.57,1.20,0.62
7.804,-0.57,0.58,1.20,0.57
7.808,-0.58,0.59,1.20,0.46
7.812,-0.59,0.60,1.20,0.50
7.816,-0.60,0.61,1.21,0.51
7.820,-0.61,0.62,1.21,0.55
7.824,-0.62,0.63,1.21,0.60
7.828,-0.64,0.65,1.21,0.57
7.832,-0.65,0.66,1.22,0.56
7.836,-0.66,0.67,1.22,0.52
7.840,-0.67,0.68,1.22,0.44
7.844,-0.67,0.68,1.22,0.40
7.848,-0.68,0.69,1.23,0.33
7.852,-0.69,0.70,1.23,0.32
7.856,-0.69,0.70,1.23,0.35
7.860,-0.70,0.71,1.24,0.28
7.864,-0.70,0.71,1.24,0.24
7.868,-0.71,0.72,1.24,0.21
7.872,-0.71,0.72,1.24,0.17
7.876,-0.71,0.72,1.25,0.11
7.880,-0.71,0.72,1.25,0.05
7.884,-0.71,0.72,1.25,0.05
7.888,-0.72,0.73,1.26,0.10
7.892,-0.72,0.73,1.26,0.18
7.896,-0.73,0.74,1.26,0.25
7.900,-0.73,0.74,1.27,0.23
7.904,-0.73,0.74,1.27,0.08
7.908,-0.73,0.74,1.27,-0.05
7.912,-0.72,0.73,1.27,-0.15
7.916,-0.72,0.73,1.28,-0.13
7.920,-0.72,0.73,1.28,-0.08
7.924,-0.72,0.73,1.28,-0.10
7.928,-0.71,0.72,1.29,-0.20
7.932,-0.70,0.71,1.29,-0.41
7.936,-0.69,0.70,1.29,-0.56
7.940,-0.68,0.69,1.29,-0.59
7.944,-0.66,0.67,1.30,-0.57
7.948,-0.65,0.66,1.30,-0.51
7.952,-0.64,0.65,1.30,-0.57
7.956,-0.63,0.64,1.30,-0.68
7.960,-0.61,0.62,1.31,-0.83
7.964,-0.59,0.60,1.31,-0.98
7.968,-0.57,0.58,1.31,-0.98
7.972,-0.55,0.56,1.31,-0.90
7.976,-0.54,0.55,1.32,-0.74
7.980,-0.52,0.53,1.32,-0.70
7.984,-0.50,0.51,1.32,-0.82
7.988,-0.48,0.49,1.32,-0.98
7.992,-0.46,0.47,1.32,-1.11
7.996,-0.44,0.45,1.33,-1.15
8.000,-0.41,0.42,1.33,-1.14
8.004,-0.39,0.40,1.33,-1.10
8.008,-0.37,0.38,1.33,-1.03
8.012,-0.35,0.36,1.33,-1.04
8.016,-0.33,0.34,1.33,-1.04
8.020,-0.31,0.32,1.34,-0.94
8.024,-0.30,0.31,1.34,-0.82
8.028,-0.28,0.29,1.34,-0.64
8.032,-0.28,0.29,1.34,-0.44
8.036,-0.26,0.27,1.34,-0.47
8.040,-0.24,0.25,1.34,-0.85
8.044,-0.23,0.24,1.34,-0.94
8.048,-0.21,0.22,1.34,-0.89
8.052,-0.19,0.20,1.34,-0.95
8.056,-0.17,0.18,1.34,-0.86
8.060,-0.15,0.16,1.35,-0.84
8.064,-0.14,0.15,1.35,-0.78
8.068,-0.13,0.14,1.35,-0.65
8.072,-0.11,0.12,1.35,-0.71
8.076,-0.10,0.11,1.35,-0.65
8.080,-0.09,0.10,1.35,-0.55
8.084,-0.08,0.09,1.35,-0.45
8.088,-0.07,0.08,1.35,-0.34
8.092,-0.07,0.08,1.35,-0.30
8.096,-0.06,0.07,1.35,-0.20
8.100,-0.06,0.07,1.35,-0.31
8.104,-0.05,0.06,1.35,-0.32
8.108,-0.05,0.06,1.35,-0.20
8.112,-0.04,0.05,1.35,-0.19
8.116,-0.04,0.05,1.35,-0.11
8.120,-0.04,0.05,1.35,-0.06
8.124,-0.04,0.05,1.35,-0.01
8.128,-0.04,0.05,1.35,0.10
8.132,-0.05,0.06,1.35,0.09
8.136,-0.05,0.06,1.35,0.24
8.140,-0.06,0.07,1.35,0.45
8.144,-0.07,0.08,1.35,0.51
8.148,-0.09,0.10,1.35,0.64
8.152,-0.10,0.11,1.35,0.68
8.156,-0.11,0.12,1.35,0.63
8.160,-0.13,0.14,1.35,0.64
8.164,-0.14,0.15,1.35,0.51
8.168,-0.15,0.16,1.36,0.55
8.172,-0.17,0.18,1.36,0.77
8.176,-0.18,0.19,1.36,0.78
8.180,-0.20,0.21,1.36,0.89
8.184,-0.22,0.23,1.36,0.96
8.188,-0.24,0.25,1.36,0.89
8.192,-0.25,0.26,1.36,0.72
8.196,-0.26,0.27,1.36,0.56
8.200,-0.28,0.29,1.36,0.68
8.204,-0.29,0.30,1.36,0.70
8.208,-0.31,0.32,1.37,0.72
8.212,-0.32,0.33,1.37,0.83
8.216,-0.34,0.35,1.37,0.80
8.220,-0.35,0.36,1.37,0.73
8.224,-0.36,0.37,1.37,0.53
8.228,-0.37,0.38,1.37,0.34
8.232,-0.37,0.38,1.37,0.36
8.236,-0.38,0.39,1.38,0.29
8.240,-0.38,0.39,1.38,0.20
8.244,-0.39,0.40,1.38,0.25
8.248,-0.39,0.40,1.38,0.19
8.252,-0.39,0.40,1.38,0.14
8.256,-0.39,0.40,1.38,0.08
8.260,-0.39,0.40,1.39,0.02
8.264,-0.39,0.40,1.39,0.02
8.268,-0.39,0.40,1.39,-0.04
8.272,-0.39,0.40,1.39,-0.11
8.276,-0.39,0.40,1.39,-0.09
8.280,-0.38,0.39,1.39,-0.17
8.284,-0.38,0.39,1.40,-0.22
8.288,-0.37,0.38,1.40,-0.21
8.292,-0.37,0.38,1.40,-0.27
8.296,-0.36,0.37,1.40,-0.29
8.300,-0.35,0.36,1.40,-0.34
8.304,-0.35,0.36,1.40,-0.35
8.308,-0.33,0.34,1.40,-0.44
8.312,-0.32,0.33,1.41,-0.50
8.316,-0.32,0.33,1.41,-0.46
8.320,-0.31,0.32,1.41,-0.43
8.324,-0.30,0.31,1.41,-0.42
8.328,-0.29,0.30,1.41,-0.47
8.332,-0.28,0.29,1.41,-0.53
8.336,-0.26,0.27,1.41,-0.64
8.340,-0.25,0.26,1.41,-0.74
8.344,-0.23,0.24,1.41,-0.71
8.348,-0.22,0.23,1.42,-0.56
8.352,-0.21,0.22,1.42,-0.53
8.356,-0.20,0.21,1.42,-0.59
8.360,-0.18,0.19,1.42,-0.64
8.364,-0.16,0.17,1.42,-0.84
8.368,-0.14,0.15,1.42,-1.01
8.372,-0.12,0.13,1.42,-0.98
8.376,-0.11,0.12,1.42,-0.94
8.380,-0.09,0.10,1.42,-0.88
8.384,-0.07,0.08,1.42,-0.92
8.388,-0.05,0.06,1.42,-1.03
8.392,-0.03,0.04,1.42,-1.03
8.396,0.00,0.01,1.42,-1.07
8.400,0.00,0.00,1.42,-1.05
8.404,0.02,-0.01,1.42,-1.06
8.408,0.04,-0.03,1.42,-1.05
8.412,0.06,-0.05,1.42,-0.94
8.416,0.08,-0.07,1.42,-0.94
8.420,0.10,-0.09,1.42,-0.97
8.424,0.12,-0.11,1.42,-0.96
8.428,0.14,-0.13,1.42,-1.03
8.432,0.16,-0.15,1.42,-1.05
8.436,0.18,-0.17,1.42,-1.00
8.440,0.20,-0.19,1.42,-0.98
8.444,0.22,-0.21,1.42,-0.91
8.448,0.23,-0.22,1.42,-0.84
8.452,0.24,-0.23,1.41,-0.63
8.456,0.25,-0.24,1.41,-0.41
8.460,0.25,-0.24,1.41,-0.20
8.464,0.25,-0.24,1.41,0.11
8.468,0.24,-0.23,1.41,0.29
8.472,0.23,-0.22,1.41,0.25
8.476,0.23,-0.22,1.41,0.11
8.480,0.24,-0.23,1.41,-0.06
8.484,0.24,-0.23,1.41,-0.02
8.488,0.23,-0.22,1.41,0.11
8.492,0.23,-0.22,1.40,0.11
8.496,0.22,-0.21,1.40,0.23
8.500,0.22,-0.21,1.40,0.34
8.504,0.21,-0.20,1.40,0.36
8.508,0.21,-0.20,1.40,0.31
8.512,0.20,-0.19,1.40,0.28
8.516,0.19,-0.18,1.40,0.39
8.520,0.18,-0.17,1.40,0.42
8.524,0.17,-0.16,1.40,0.41
8.528,0.16,-0.15,1.40,0.47
8.532,0.15,-0.14,1.40,0.55
8.536,0.14,-0.13,1.40,0.59
8.540,0.12,-0.11,1.40,0.66
8.544,0.11,-0.10,1.40,0.69
8.548,0.10,-0.09,1.40,0.71
8.552,0.08,-0.07,1.39,0.71
8.556,0.06,-0.05,1.39,0.77
8.560,0.05,-0.04,1.39,0.78
8.564,0.04,-0.03,1.39,0.69
8.568,0.02,-0.01,1.39,0.80
8.572,0.00,0.00,1.39,0.85
8.576,0.00,0.00,1.39,0.81
8.580,-0.01,0.02,1.39,0.85
8.584,-0.03,0.04,1.39,0.88
8.588,-0.05,0.06,1.39,0.88
8.592,-0.07,0.08,1.39,0.90
8.596,-0.08,0.09,1.40,0.81
8.600,-0.10,0.11,1.40,0.89
8.604,-0.12,0.13,1.40,1.10
8.608,-0.15,0.16,1.40,1.12
8.612,-0.17,0.18,1.40,1.10
8.616,-0.19,0.20,1.40,1.04
8.620,-0.21,0.22,1.40,0.92
8.624,-0.21,0.22,1.40,0.66
8.628,-0.23,0.24,1.40,0.64
8.632,-0.24,0.25,1.40,0.74
8.636,-0.26,0.27,1.40,0.71
8.640,-0.27,0.28,1.40,0.72
8.644,-0.29,0.30,1.41,0.79
8.648,-0.31,0.32,1.41,0.83
8.652,-0.32,0.33,1.41,0.84
