time,pitch,pitch_filt
0.852,-0.6336, -0.6597
0.856,-0.6266, -0.6503
0.860,-0.6198, -0.6417
0.864,-0.6137, -0.6336
0.868,-0.6097, -0.6263
0.872,-0.6047, -0.6197
0.876,-0.6013, -0.6139
0.880,-0.5982, -0.6089
0.884,-0.5942, -0.6045
0.888,-0.5908, -0.6006
0.892,-0.5867, -0.5969
0.896,-0.5815, -0.5933
0.900,-0.5758, -0.5894
0.904,-0.5696, -0.5850
0.908,-0.5632, -0.5802
0.912,-0.5570, -0.5747
0.916,-0.5480, -0.5687
0.920,-0.5399, -0.5622
0.924,-0.5297, -0.5551
0.928,-0.5207, -0.5472
0.932,-0.5068, -0.5386
0.936,-0.4977, -0.5290
0.940,-0.4869, -0.5188
0.944,-0.4760, -0.5081
0.948,-0.4640, -0.4973
0.952,-0.4550, -0.4863
0.956,-0.4480, -0.4759
0.960,-0.4383, -0.4655
0.964,-0.4328, -0.4559
0.968,-0.4270, -0.4473
0.972,-0.4219, -0.4397
0.976,-0.4184, -0.4330
0.980,-0.4123, -0.4271
0.984,-0.4061, -0.4219
0.988,-0.4014, -0.4168
0.992,-0.3942, -0.4116
0.996,-0.3864, -0.4061
1.000,-0.3781, -0.3999
1.004,-0.3707, -0.3932
1.008,-0.3622, -0.3860
1.012,-0.3517, -0.3781
1.016,-0.3417, -0.3698
1.020,-0.3321, -0.3610
1.024,-0.3189, -0.3517
1.028,-0.3102, -0.3416
1.032,-0.2994, -0.3311
1.036,-0.2856, -0.3205
1.040,-0.2758, -0.3096
1.044,-0.2652, -0.2984
1.048,-0.2495, -0.2873
1.052,-0.2390, -0.2756
1.056,-0.2241, -0.2636
1.060,-0.2110, -0.2513
1.064,-0.1942, -0.2383
1.068,-0.1800, -0.2245
1.072,-0.1633, -0.2105
1.076,-0.1445, -0.1954
1.080,-0.1284, -0.1797
1.084,-0.1094, -0.1632
1.088,-0.0903, -0.1463
1.092,-0.0720, -0.1285
1.096,-0.0525, -0.1103
1.100,-0.0328, -0.0919
1.104,-0.0130, -0.0729
1.108,0.0075, -0.0537
1.112,0.0249, -0.0342
1.116,0.0472, -0.0146
1.120,0.0658, 0.0050
1.124,0.0852, 0.0247
1.128,0.1059, 0.0444
1.132,0.1245, 0.0641
1.136,0.1433, 0.0839
1.140,0.1622, 0.1032
1.144,0.1784, 0.1224
1.148,0.1933, 0.1411
1.152,0.2088, 0.1588
1.156,0.2226, 0.1756
1.160,0.2333, 0.1914
1.164,0.2435, 0.2058
1.168,0.2522, 0.2191
1.172,0.2590, 0.2309
1.176,0.2628, 0.2409
1.180,0.2661, 0.2493
1.184,0.2670, 0.2560
1.188,0.2663, 0.2608
1.192,0.2639, 0.2637
1.196,0.2600, 0.2649
1.200,0.2541, 0.2644
1.204,0.2461, 0.2622
1.208,0.2384, 0.2582
1.212,0.2282, 0.2527
1.216,0.2185, 0.2457
1.220,0.2065, 0.2374
1.224,0.1948, 0.2280
1.228,0.1808, 0.2178
1.232,0.1668, 0.2065
1.236,0.1508, 0.1942
1.240,0.1338, 0.1809
1.244,0.1158, 0.1664
1.248,0.0988, 0.1509
1.252,0.0814, 0.1344
1.256,0.0649, 0.1173
1.260,0.0488, 0.1001
1.264,0.0330, 0.0831
1.268,0.0197, 0.0666
1.272,0.0066, 0.0507
1.276,-0.0038, 0.0356
1.280,-0.0152, 0.0217
1.284,-0.0233, 0.0089
1.288,-0.0291, -0.0023
1.292,-0.0334, -0.0123
1.296,-0.0346, -0.0206
1.300,-0.0354, -0.0269
1.304,-0.0325, -0.0310
1.308,-0.0286, -0.0331
1.312,-0.0222, -0.0331
1.316,-0.0178, -0.0312
1.320,-0.0091, -0.0277
1.324,-0.0010, -0.0226
1.328,0.0089, -0.0164
1.332,0.0203, -0.0091
1.336,0.0332, -0.0006
1.340,0.0480, 0.0093
1.344,0.0639, 0.0206
1.348,0.0821, 0.0334
1.352,0.1011, 0.0479
1.356,0.1217, 0.0639
1.360,0.1422, 0.0814
1.364,0.1656, 0.1003
1.368,0.1886, 0.1204
1.372,0.2125, 0.1416
1.376,0.2382, 0.1638
1.380,0.2629, 0.1869
1.384,0.2908, 0.2110
1.388,0.3179, 0.2359
1.392,0.3479, 0.2616
1.396,0.3773, 0.2884
1.400,0.4074, 0.3162
1.404,0.4389, 0.3450
1.408,0.4688, 0.3745
1.412,0.5013, 0.4046
1.416,0.5267, 0.4350
1.420,0.5574, 0.4654
1.424,0.5841, 0.4952
1.428,0.6111, 0.5243
1.432,0.6367, 0.5526
1.436,0.6609, 0.5799
1.440,0.6867, 0.6068
1.444,0.7098, 0.6325
1.448,0.7328, 0.6576
1.452,0.7538, 0.6820
1.456,0.7748, 0.7055
1.460,0.7945, 0.7283
1.464,0.8135, 0.7499
1.468,0.8312, 0.7706
1.472,0.8481, 0.7904
1.476,0.8663, 0.8093
1.480,0.8812, 0.8275
1.484,0.8972, 0.8449
1.488,0.9115, 0.8617
1.492,0.9253, 0.8778
1.496,0.9384, 0.8932
1.500,0.9517, 0.9078
1.504,0.9631, 0.9218
1.508,0.9751, 0.9350
1.512,0.9868, 0.9478
1.516,0.9975, 0.9600
1.520,1.0106, 0.9719
1.524,1.0220, 0.9835
1.528,1.0331, 0.9952
1.532,1.0453, 1.0069
1.536,1.0566, 1.0186
1.540,1.0687, 1.0304
1.544,1.0801, 1.0419
1.548,1.0919, 1.0536
1.552,1.1034, 1.0653
1.556,1.1160, 1.0769
1.560,1.1274, 1.0887
1.564,1.1389, 1.1004
1.568,1.1512, 1.1122
1.572,1.1620, 1.1240
1.576,1.1736, 1.1357
1.580,1.1852, 1.1472
1.584,1.1964, 1.1588
1.588,1.2077, 1.1702
1.592,1.2191, 1.1815
1.596,1.2312, 1.1929
1.600,1.2431, 1.2044
1.604,1.2551, 1.2159
1.608,1.2679, 1.2276
1.612,1.2816, 1.2396
1.616,1.2965, 1.2520
1.620,1.3090, 1.2648
1.624,1.3258, 1.2782
1.628,1.3411, 1.2922
1.632,1.3571, 1.3067
1.636,1.3743, 1.3217
1.640,1.3918, 1.3373
1.644,1.4094, 1.3536
1.648,1.4259, 1.3703
1.652,1.4443, 1.3874
1.656,1.4615, 1.4047
1.660,1.4792, 1.4221
1.664,1.4964, 1.4395
1.668,1.5148, 1.4570
1.672,1.5322, 1.4746
1.676,1.5502, 1.4922
1.680,1.5690, 1.5099
1.684,1.5870, 1.5278
1.688,1.6063, 1.5458
1.692,1.6249, 1.5640
1.696,1.6447, 1.5826
1.700,1.6641, 1.6013
1.704,1.6835, 1.6203
1.708,1.7028, 1.6396
1.712,1.7220, 1.6589
1.716,1.7421, 1.6783
1.720,1.7600, 1.6976
1.724,1.7810, 1.7169
1.728,1.8007, 1.7362
1.732,1.8207, 1.7557
1.736,1.8424, 1.7754
1.740,1.8634, 1.7954
1.744,1.8851, 1.8160
1.748,1.9059, 1.8367
1.752,1.9271, 1.8578
1.756,1.9466, 1.8790
1.760,1.9662, 1.8999
1.764,1.9846, 1.9205
1.768,2.0012, 1.9404
1.772,2.0164, 1.9595
1.776,2.0293, 1.9775
