time,label,pitch,filtered
6.632,[kmtcs],3.3048, 3.3698
6.636,[kmtcs],3.2950, 3.3493
6.640,[kmtcs],3.2639, 3.3314
6.644,[kmtcs],3.2501, 3.3096
6.648,[kmtcs],3.2255, 3.2842
6.652,[kmtcs],3.1781, 3.2622
6.656,[kmtcs],3.1884, 3.2398
6.660,[kmtcs],3.1578, 3.2158
6.664,[kmtcs],3.1297, 3.1934
6.668,[kmtcs],3.1179, 3.1712
6.672,[kmtcs],3.0945, 3.1503
6.676,[kmtcs],3.0900, 3.1324
6.680,[kmtcs],3.0635, 3.1117
6.684,[kmtcs],3.0294, 3.0936
6.688,[kmtcs],3.0340, 3.0760
6.692,[kmtcs],3.0014, 3.0569
6.696,[kmtcs],2.9752, 3.0378
6.700,[kmtcs],2.9719, 3.0170
6.704,[kmtcs],2.9450, 2.9977
6.708,[kmtcs],2.9121, 2.9795
6.712,[kmtcs],2.9308, 2.9585
6.716,[kmtcs],2.8731, 2.9403
6.720,[kmtcs],2.8842, 2.9227
6.724,[kmtcs],2.8632, 2.9042
6.728,[kmtcs],2.8490, 2.8879
6.732,[kmtcs],2.8616, 2.8746
6.736,[kmtcs],2.8019, 2.8592
6.740,[kmtcs],2.8452, 2.8496
6.744,[kmtcs],2.8122, 2.8378
6.748,[kmtcs],2.8067, 2.8280
6.752,[kmtcs],2.8007, 2.8196
6.756,[kmtcs],2.8102, 2.8101
6.760,[kmtcs],2.7801, 2.8069
6.764,[kmtcs],2.8071, 2.7980
6.768,[kmtcs],2.7581, 2.7937
6.772,[kmtcs],2.7911, 2.7882
6.776,[kmtcs],2.7745, 2.7828
6.780,[kmtcs],2.7383, 2.7756
6.784,[kmtcs],2.8029, 2.7713
6.788,[kmtcs],2.7425, 2.7648
6.792,[kmtcs],2.7809, 2.7645
6.796,[kmtcs],2.7479, 2.7609
6.800,[kmtcs],2.7583, 2.7592
6.804,[kmtcs],2.7575, 2.7598
6.808,[kmtcs],2.7741, 2.7529
6.812,[kmtcs],2.7283, 2.7545
6.816,[kmtcs],2.7855, 2.7512
6.820,[kmtcs],2.7553, 2.7531
6.824,[kmtcs],2.7852, 2.7542
6.828,[kmtcs],2.7928, 2.7580
6.832,[kmtcs],2.7631, 2.7624
6.836,[kmtcs],2.8344, 2.7726
6.840,[kmtcs],2.7946, 2.7773
6.844,[kmtcs],2.8314, 2.7875
6.848,[kmtcs],2.8345, 2.7960
6.852,[kmtcs],2.8517, 2.8061
6.856,[kmtcs],2.8470, 2.8202
6.860,[kmtcs],2.9067, 2.8277
6.864,[kmtcs],2.8575, 2.8432
6.868,[kmtcs],2.9150, 2.8549
6.872,[kmtcs],2.9052, 2.8680
6.876,[kmtcs],2.9385, 2.8802
6.880,[kmtcs],2.9424, 2.8948
6.884,[kmtcs],2.9363, 2.9049
6.888,[kmtcs],3.0033, 2.9225
6.892,[kmtcs],2.9659, 2.9348
6.896,[kmtcs],3.0006, 2.9501
6.900,[kmtcs],3.0134, 2.9631
6.904,[kmtcs],3.0242, 2.9772
6.908,[kmtcs],3.0242, 2.9920
6.912,[kmtcs],3.0744, 3.0009
6.916,[kmtcs],3.0273, 3.0167
6.920,[kmtcs],3.0955, 3.0282
6.924,[kmtcs],3.0787, 3.0403
6.928,[kmtcs],3.0941, 3.0525
6.932,[kmtcs],3.1113, 3.0659
6.936,[kmtcs],3.0970, 3.0747
6.940,[kmtcs],3.1543, 3.0894
6.944,[kmtcs],3.1143, 3.0969
6.948,[kmtcs],3.1548, 3.1082
6.952,[kmtcs],3.1436, 3.1185
6.956,[kmtcs],3.1508, 3.1266
6.960,[kmtcs],3.1562, 3.1357
6.964,[kmtcs],3.1740, 3.1383
6.968,[kmtcs],3.1425, 3.1464
6.972,[kmtcs],3.1925, 3.1491
6.976,[kmtcs],3.1590, 3.1544
6.980,[kmtcs],3.1692, 3.1582
6.984,[kmtcs],3.1586, 3.1606
6.988,[kmtcs],3.1423, 3.1592
6.992,[kmtcs],3.1725, 3.1590
6.996,[kmtcs],3.1241, 3.1519
7.000,[kmtcs],3.1502, 3.1484
7.004,[kmtcs],3.1121, 3.1426
7.008,[kmtcs],3.1262, 3.1361
7.012,[kmtcs],3.1030, 3.1296
7.016,[kmtcs],3.1160, 3.1186
7.020,[kmtcs],3.0492, 3.1125
7.024,[kmtcs],3.0977, 3.1002
7.028,[kmtcs],3.0669, 3.0913
7.032,[kmtcs],3.0328, 3.0789
7.036,[kmtcs],3.0120, 3.0673
7.040,[kmtcs],3.0208, 3.0510
7.044,[kmtcs],3.0313, 3.0398
7.048,[kmtcs],2.9243, 3.0214
7.052,[kmtcs],2.9750, 3.0050
7.056,[kmtcs],2.9394, 2.9893
7.060,[kmtcs],2.8905, 2.9708
7.064,[kmtcs],2.8989, 2.9478
7.068,[kmtcs],2.8669, 2.9232
7.072,[kmtcs],2.8425, 2.9081
7.076,[kmtcs],2.8852, 2.8846
7.080,[kmtcs],2.7838, 2.8674
7.084,[kmtcs],2.7940, 2.8528
7.088,[kmtcs],2.8001, 2.8335
7.092,[kmtcs],2.7524, 2.8150
7.096,[kmtcs],2.7687, 2.7969
7.100,[kmtcs],2.6977, 2.7745
7.104,[kmtcs],2.7531, 2.7624
7.108,[kmtcs],2.6896, 2.7462
7.112,[kmtcs],2.6862, 2.7281
7.116,[kmtcs],2.7070, 2.7155
7.120,[kmtcs],2.6862, 2.7015
7.124,[kmtcs],2.6446, 2.6956
7.128,[kmtcs],2.7040, 2.6825
7.132,[kmtcs],2.6478, 2.6780
7.136,[kmtcs],2.6540, 2.6719
7.140,[kmtcs],2.6386, 2.6628
7.144,[kmtcs],2.6211, 2.6547
7.148,[kmtcs],2.6599, 2.6487
7.152,[kmtcs],2.5822, 2.6356
7.156,[kmtcs],2.6251, 2.6290
7.160,[kmtcs],2.6042, 2.6207
7.164,[kmtcs],2.5895, 2.6130
7.168,[kmtcs],2.6162, 2.6068
7.172,[kmtcs],2.6053, 2.5984
7.176,[kmtcs],2.5742, 2.6001
7.180,[kmtcs],2.6364, 2.5961
7.184,[kmtcs],2.5879, 2.5964
7.188,[kmtcs],2.6066, 2.5980
7.192,[kmtcs],2.6157, 2.5973
7.196,[kmtcs],2.5609, 2.5978
7.200,[kmtcs],2.6500, 2.5996
7.204,[kmtcs],2.5830, 2.5951
7.208,[kmtcs],2.6113, 2.5978
7.212,[kmtcs],2.6189, 2.5989
7.216,[kmtcs],2.6081, 2.6001
7.220,[kmtcs],2.6643, 2.6079
7.224,[kmtcs],2.6614, 2.6093
7.228,[kmtcs],2.6381, 2.6235
7.232,[kmtcs],2.7201, 2.6356
7.236,[kmtcs],2.6910, 2.6499
7.240,[kmtcs],2.6895, 2.6659
7.244,[kmtcs],2.7350, 2.6761
7.248,[kmtcs],2.6934, 2.6879
7.252,[kmtcs],2.7466, 2.7002
7.256,[kmtcs],2.7087, 2.7032
7.260,[kmtcs],2.7427, 2.7106
7.264,[kmtcs],2.7580, 2.7183
7.268,[kmtcs],2.7125, 2.7217
7.272,[kmtcs],2.7805, 2.7302
7.276,[kmtcs],2.7338, 2.7329
7.280,[kmtcs],2.7490, 2.7396
7.284,[kmtcs],2.7587, 2.7412
7.288,[kmtcs],2.7460, 2.7417
7.292,[kmtcs],2.7527, 2.7465
7.296,[kmtcs],2.7938, 2.7441
7.300,[kmtcs],2.7386, 2.7500
7.304,[kmtcs],2.8024, 2.7543
7.308,[kmtcs],2.7668, 2.7592
